<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RUAL;D;240802;000000;34.835;35.31;34.255;34.5;13549390
RUAL;D;240803;000000;34.62;34.67;34;34.325;12168770
RUAL;D;240806;000000;33.935;34.04;33.115;33.37;19112020
RUAL;D;240807;000000;33.515;34;33.505;33.745;8685260
RUAL;D;240808;000000;33.775;34.96;33.36;34.795;21533760
RUAL;D;240809;000000;34.75;35.235;34.075;34.75;28544380
RUAL;D;240810;000000;34.78;35.2;34.2;34.425;13128960
RUAL;D;240813;000000;34.315;34.955;34.28;34.745;10555280
RUAL;D;240814;000000;34.9;35.575;34.76;35.465;17157500
RUAL;D;240815;000000;35.65;35.8;34.345;34.59;20275980
RUAL;D;240816;000000;34.635;34.65;34.335;34.335;6135220
RUAL;D;240817;000000;34.33;34.47;34.015;34.29;6865470
RUAL;D;240820;000000;34.205;34.205;33.74;33.8;11624480
RUAL;D;240821;000000;33.815;34.55;33.7;34.395;8576090
RUAL;D;240822;000000;34.505;34.7;33.705;33.965;11025250
RUAL;D;240823;000000;33.945;34.195;30.99;31.69;31973460
RUAL;D;240824;000000;31.705;33.25;31.2;33.25;37363430
RUAL;D;240827;000000;33.61;34.27;32.73;33.39;26018370
RUAL;D;240828;000000;33.45;33.6;32.515;32.79;11773910
RUAL;D;240829;000000;32.75;33.345;31.55;32.73;16994160
RUAL;D;240830;000000;32.855;33.735;31.61;32.5;28300350
RUAL;D;240831;000000;32.485;32.775;31;31.36;15866320
RUAL;D;240903;000000;31.025;31.44;30.005;30.33;20049740
RUAL;D;240904;000000;30.3;31.245;29.27;29.54;24095830
RUAL;D;240905;000000;29.56;31.315;29.345;31.085;20001400
RUAL;D;240906;000000;31.355;31.38;30.35;30.595;13953370
RUAL;D;240907;000000;29.995;31.6;29.8;30.91;46554770
RUAL;D;240910;000000;31.095;31.39;30.515;31.34;17549910
RUAL;D;240911;000000;31.41;31.815;30.505;30.9;18769850
RUAL;D;240912;000000;30.89;31.38;30.04;30.1;16217510
RUAL;D;240913;000000;30.205;30.445;29.8;30.265;17715950
RUAL;D;240914;000000;30.26;30.515;29.1;30.32;25715410
RUAL;D;240917;000000;30.505;31.315;30.43;31.185;20818320
RUAL;D;240918;000000;31.205;31.5;30.64;31.255;14043290
RUAL;D;240919;000000;31.385;31.44;30.57;31.06;13138830
RUAL;D;240920;000000;31.17;32.36;31.03;31.745;34619390
RUAL;D;240921;000000;31.78;32.085;31.535;31.85;11800870
RUAL;D;240924;000000;32;32.68;31.8;32.525;14230870
RUAL;D;240925;000000;32.63;34.265;32.2;33.675;49336810
RUAL;D;240926;000000;33.75;34.9;33.31;33.76;49990840
RUAL;D;240927;000000;33.67;34.575;33.605;34.495;23817430
RUAL;D;240928;000000;34.655;35.19;34.46;34.835;26975680
RUAL;D;241001;000000;34.905;35.485;34.14;34.14;24972510
RUAL;D;241002;000000;33.99;34.655;33.935;34.47;14013830
RUAL;D;241003;000000;34.54;34.89;33.55;33.785;14112010
RUAL;D;241004;000000;33.755;34.87;33.365;34.77;17357560
RUAL;D;241005;000000;34.815;35.42;34.355;34.97;14359310
RUAL;D;241008;000000;34.97;35.195;34.405;34.765;16277570
RUAL;D;241009;000000;33.965;35.075;33.32;34.96;35046750
RUAL;D;241010;000000;34.8;34.845;33.5;34.025;30051210
RUAL;D;241011;000000;34.065;34.17;33.5;33.59;9167180
RUAL;D;241012;000000;33.53;34;33.06;33.71;16505720
RUAL;D;241015;000000;33.675;34.405;33.13;34.115;11535280
RUAL;D;241016;000000;34.035;34.84;33.855;34.49;10105970
RUAL;D;241017;000000;34.62;34.95;34.13;34.375;9147150
